Location ID,Date,Cases to Date,Population,New Cases,Viral RNA Concentration (copies/gram of dry sludge),Proportion of Population Fully Vaccinated
1,43494,39074,79997,0,48645821.33, 
2,43494,4968,25015,6, , 
3,43494,5252,31488,2,664233.8, 
4,43494,14569,63911,11, , 
5,43494,12109,44245,9, , 
6,43494,12059,48666,19, , 
7,43494,16864,72446,10, , 
8,43494,8107,38414,0, , 
9,43494,9835,47367,5, , 
10,43494,24347,86703,17,15882239.3, 
11,43494,13803,42483,1,22329832.04, 
12,43494,6774,29920,-1,33736605.91, 
1,43493,39074,79997,0, , 
2,43493,4962,25015,0, , 
3,43493,5250,31488,3,601623.3, 
4,43493,14558,63911,0, , 
5,43493,12100,44245,0, , 
6,43493,12040,48666,0, , 
7,43493,16854,72446,0, , 
8,43493,8107,38414,0, , 
9,43493,9830,47367,0,20387843.27, 
10,43493,24330,86703,0, , 
11,43493,13802,42483,0, , 
12,43493,6775,29920,0, , 
1,43492,39074,79997,0, , 
2,43492,4962,25015,0, , 
3,43492,5247,31488,0,159000, 
4,43492,14558,63911,0, , 
5,43492,12100,44245,0, , 
6,43492,12040,48666,0, , 
7,43492,16854,72446,0, , 
8,43492,8107,38414,2, , 
9,43492,9830,47367,0, , 
10,43492,24330,86703,0, , 
11,43492,13802,42483,2, , 
12,43492,6775,29920,2, , 
1,43491,39074,79997,0, , 
2,43491,4962,25015,0,18286504.28, 
3,43491,5247,31488,0,132000, 
4,43491,14558,63911,2, , 
5,43491,12100,44245,4, , 
6,43491,12040,48666,5, , 
7,43491,16854,72446,2, , 
8,43491,8105,38414,3, , 
9,43491,9830,47367,0, , 
10,43491,24330,86703,0, , 
11,43491,13800,42483,1, , 
12,43491,6773,29920,0,21072492.26, 
1,43490,39074,79997,86,53238631.35, 
2,43490,4962,25015,3, , 
3,43490,5247,31488,1,262000, 
4,43490,14556,63911,5,11433440.89, 
5,43490,12096,44245,2,7435668.542, 
6,43490,12035,48666,1,5494452.507, 
7,43490,16852,72446,8,7898066.85, 
8,43490,8102,38414,2,9563273.113, 
9,43490,9830,47367,12,7975880.454, 
10,43490,24330,86703,22,8519183.016, 
11,43490,13799,42483,5,13623890.34, 
12,43490,6773,29920,1, , 
1,43489,38988,79997,0,25099494.48, 
2,43489,4959,25015,0, , 
3,43489,5246,31488,2,291606.4, 
4,43489,14551,63911,0, , 
5,43489,12094,44245,4, , 
6,43489,12034,48666,3,18384254.33, 
7,43489,16844,72446,6, , 
8,43489,8100,38414,0, , 
9,43489,9818,47367,0, , 
10,43489,24308,86703,0,24222172.67, 
11,43489,13794,42483,2, , 
12,43489,6772,29920,2,18840318.18, 
1,43488,38988,79997,0, ,0.984333
2,43488,4959,25015,0,23593676.49,0.753793
3,43488,5244,31488,2,202000,0.703302
4,43488,14551,63911,16, ,0.865281
5,43488,12090,44245,11,24863056.38,0.885056
6,43488,12031,48666,16,11164037.96,0.872027
7,43488,16838,72446,14,14617156.27,0.821793
8,43488,8100,38414,10,2847819.216,0.836416
9,43488,9818,47367,0,5697858.358,0.757327
10,43488,24308,86703,0, ,0.788113
11,43488,13792,42483,7,11325676.48,0.771332
12,43488,6770,29920,5, ,0.774931
1,43487,38988,79997,0,36443506.38, 
2,43487,4959,25015,10, , 
3,43487,5242,31488,1,506768.6, 
4,43487,14535,63911,0, , 
5,43487,12079,44245,0, , 
6,43487,12015,48666,0, , 
7,43487,16824,72446,0, , 
8,43487,8090,38414,0,33589702.08, 
9,43487,9818,47367,7, , 
10,43487,24308,86703,27,16285819.82, 
11,43487,13785,42483,1,12458424.13, 
12,43487,6765,29920,0,8892231.025, 
1,43486,38988,79997,0, , 
2,43486,4949,25015,0,9526667.276, 
3,43486,5241,31488,1, , 
4,43486,14535,63911,0, , 
5,43486,12079,44245,0, , 
6,43486,12015,48666,0, , 
7,43486,16824,72446,0, , 
8,43486,8090,38414,0, , 
9,43486,9811,47367,0,4381052.914, 
10,43486,24281,86703,0, , 
11,43486,13784,42483,0, , 
12,43486,6765,29920,0, , 
1,43485,38988,79997,0, , 
2,43485,4949,25015,0, , 
3,43485,5240,31488,1,102000, 
4,43485,14535,63911,7, , 
5,43485,12079,44245,3, , 
6,43485,12015,48666,11, , 
7,43485,16824,72446,6, , 
8,43485,8090,38414,1, , 
9,43485,9811,47367,0, , 
10,43485,24281,86703,0, , 
11,43485,13784,42483,3, , 
12,43485,6765,29920,3, , 
1,43484,38988,79997,0, , 
2,43484,4949,25015,0, , 
3,43484,5239,31488,0,146000, 
4,43484,14528,63911,-2, , 
5,43484,12076,44245,-1, , 
6,43484,12004,48666,2, , 
7,43484,16818,72446,0, , 
8,43484,8089,38414,4,4566450.734, 
9,43484,9811,47367,0, , 
10,43484,24281,86703,0, , 
11,43484,13781,42483,0, , 
12,43484,6762,29920,2,8567874.897, 
1,43483,38988,79997,126, , 
2,43483,4949,25015,2,10163558.47, 
3,43483,5239,31488,0,256000, 
4,43483,14530,63911,23,8201340.221, 
5,43483,12077,44245,19,8932619.149, 
6,43483,12002,48666,16,2665995.28, 
7,43483,16818,72446,24,10475765.42, 
8,43483,8085,38414,5,6489855.957, 
9,43483,9811,47367,4,9912051.687, 
10,43483,24281,86703,12,4945276.281, 
11,43483,13781,42483,7,6150584.481, 
12,43483,6760,29920,-1, , 
1,43482,38862,79997,0,27921515.66, 
2,43482,4947,25015,0, , 
3,43482,5239,31488,2, , 
4,43482,14507,63911,0, , 
5,43482,12058,44245,0, , 
6,43482,11986,48666,0,10931653.87, 
7,43482,16794,72446,0, , 
8,43482,8080,38414,2,19441456.18, 
9,43482,9807,47367,0, , 
10,43482,24269,86703,0,16092932.5, 
11,43482,13774,42483,9, , 
12,43482,6761,29920,1,13499979.22, 
1,43481,38862,79997,0,17404841.22,0.984064
2,43481,4947,25015,3,6336507.634,0.753714
3,43481,5237,31488,0, ,0.702952
4,43481,14507,63911,18,7383077.932,0.865015
5,43481,12058,44245,20,6473364.37,0.884569
6,43481,11986,48666,4,9133040.246,0.871901
7,43481,16794,72446,18,5454717.488,0.821592
8,43481,8078,38414,4, ,0.836287
9,43481,9807,47367,19,7733279.547,0.757306
10,43481,24269,86703,36,6391253.662,0.787814
11,43481,13765,42483,0,13034667.97,0.770975
12,43481,6760,29920,1, ,0.774794
1,43480,38862,79997,0, , 
2,43480,4944,25015,0,8708132.325, 
3,43480,5237,31488,2,45862.43057, 
4,43480,14489,63911,0, , 
5,43480,12038,44245,0, , 
6,43480,11982,48666,0, , 
7,43480,16776,72446,0, , 
8,43480,8074,38414,0, , 
9,43480,9788,47367,0, , 
10,43480,24233,86703,0, , 
11,43480,13765,42483,2,9493617.468, 
12,43480,6759,29920,1, , 
1,43479,38862,79997,0, , 
2,43479,4944,25015,0, , 
3,43479,5235,31488,3,126000, 
4,43479,14489,63911,0, , 
5,43479,12038,44245,0, , 
6,43479,11982,48666,0, , 
7,43479,16776,72446,0, , 
8,43479,8074,38414,0, , 
9,43479,9788,47367,0,9043864.762, 
10,43479,24233,86703,0, , 
11,43479,13763,42483,0, , 
12,43479,6758,29920,0, , 
1,43478,38862,79997,0, , 
2,43478,4944,25015,0, , 
3,43478,5232,31488,5,74000, 
4,43478,14489,63911,0, , 
5,43478,12038,44245,0, , 
6,43478,11982,48666,0, , 
7,43478,16776,72446,0, , 
8,43478,8074,38414,4, , 
9,43478,9788,47367,0, , 
10,43478,24233,86703,0, , 
11,43478,13763,42483,8, , 
12,43478,6758,29920,-1, , 
1,43477,38862,79997,0, , 
2,43477,4944,25015,0, , 
3,43477,5227,31488,4,3320000, 
4,43477,14489,63911,0, , 
5,43477,12038,44245,0, , 
6,43477,11982,48666,0, , 
7,43477,16776,72446,0, , 
8,43477,8070,38414,1,12664869.05, 
9,43477,9788,47367,0, , 
10,43477,24233,86703,0, , 
11,43477,13755,42483,5, , 
12,43477,6759,29920,4,2537897.094, 
1,43476,38862,79997,185,15438256.18, 
2,43476,4944,25015,8, , 
3,43476,5223,31488,1,194000, 
4,43476,14489,63911,70,8223745.493, 
5,43476,12038,44245,43,4553176.154, 
6,43476,11982,48666,49,6145590.495, 
7,43476,16776,72446,62, , 
8,43476,8069,38414,3, , 
9,43476,9788,47367,11,8953184.864, 
10,43476,24233,86703,21,3768922.186, 
11,43476,13750,42483,2,10721593.34, 
12,43476,6755,29920,4, , 
1,43475,38677,79997,0,22536612.59, 
2,43475,4936,25015,0, , 
