Date,Cases.to.Date,Population,New.Cases,Viral.RNA,Vaccine.Proportion
43300,145436,610655,614,2144395.219,NA
43299,144822,610655,38,1472417.859,0.803290583
43298,144784,610655,469,1911357.174,NA
43297,144315,610655,6,2268702,NA
43296,144309,610655,17,1175992.81,NA
43295,144292,610655,52,853300.679,NA
43294,144240,610655,829,1572867.144,NA
43293,143411,610655,117,1570756.877,NA
43292,143294,610655,544,1840431.82,0.802716333
43291,142750,610655,361,2218639.316,NA
43290,142389,610655,100,1969717.774,NA
43289,142289,610655,14,1394411,NA
43288,142275,610655,276,951436.4356,NA
43287,141999,610655,758,1250425.574,NA
43286,141241,610655,401,3968754.675,NA
43285,140840,610655,343,2086867.027,0.802143167
43284,140497,610655,234,3004274.984,NA
43283,140263,610655,0,2534612.244,NA
43282,140263,610655,9,1057308.87,NA
43281,140254,610655,50,1023879.6,NA
43280,140204,610655,802,3633441.599,NA
43279,139402,610655,107,1518971.039,NA
43278,139295,610655,536,2394217.847,0.801662083
43277,138759,610655,387,1002501.729,NA
43276,138372,610655,86,2866210.03,NA
43275,138286,610655,167,915946.207,NA
43274,138119,610655,148,1939238.91,NA
43273,137971,610655,719,1835587.183,NA
43272,137252,610655,83,1334769.85,NA
43271,137169,610655,785,5354732.987,0.80115375
43270,136384,610655,2,1042510.99,NA
43269,136382,610655,16,2631727.844,NA
43268,136366,610655,360,767042.7093,NA
43267,136006,610655,8,807053.4444,NA
43266,135998,610655,2428,1183668.818,NA
43265,133570,610655,51,1658468.628,NA
43264,133519,610655,51,1450367.043,0.800610667
43263,133468,610655,382,970355.2043,NA
43262,133086,610655,16,1404849.787,NA
43261,133070,610655,18,807533.526,NA
43260,133052,610655,66,728928.821,NA
43259,132986,610655,412,1346179.141,NA
43258,132574,610655,56,1681586.711,NA
43257,132518,610655,64,798263.134,0.800038167
43256,132454,610655,281,1411586.222,NA
43255,132173,610655,217,1920221.42,NA
43254,131956,610655,10,817769.369,NA
43253,131946,610655,4,1073000.22,NA
43252,131942,610655,1079,1072106.846,NA
43251,130863,610655,-493,1886062.907,NA
43250,131356,610655,237,2269520.641,0.799436667
43249,131119,610655,89,0,NA
43248,131030,610655,454,1774858.684,NA
43247,130576,610655,27,1450593.77,NA
43246,130549,610655,365,557359.898,NA
43245,130184,610655,452,1491554.154,NA
43244,129732,610655,351,1618490.56,NA
43243,129381,610655,57,1095595.896,0.798805083
43242,129324,610655,265,661356.6691,NA
43241,129059,610655,161,667988.7202,NA
43240,128898,610655,553,734320.73,NA
43239,128345,610655,4,1862056.84,NA
43238,128341,610655,327,2289113.466,NA
43237,128014,610655,185,1890374.186,NA
43236,127829,610655,138,1252165.5,0.798126
43235,127691,610655,417,975851.4608,NA
43234,127274,610655,194,2524816.225,NA
43233,127080,610655,110,396303.847,NA
43232,126970,610655,245,434802.26,NA
43231,126725,610655,397,2032528.569,NA
43230,126328,610655,84,856668.465,NA
43229,126244,610655,85,1399206.224,0.797469917
43228,126159,610655,273,1159202.393,NA
43227,125886,610655,185,1970940.766,NA
43226,125701,610655,125,107832.636,NA
43225,125576,610655,180,196314.941,NA
43224,125396,610655,339,691432.8488,NA
43223,125057,610655,360,1022231.323,NA
43222,124697,610655,95,743637.4526,0.79670925
43221,124602,610655,271,1024102.214,NA
43220,124331,610655,80,678161.9161,NA
43219,124251,610655,153,122091.298,NA
43218,124098,610655,1,288282.377,NA
43217,124097,610655,290,443812.4418,NA
43216,123807,610655,98,655353.7191,NA
43215,123709,610655,146,449758.2723,0.795909667
43214,123563,610655,197,383812.205,NA
43213,123366,610655,57,461103.0945,NA
43212,123309,610655,10,675569.583,NA
43211,123299,610655,22,105263.158,NA
43210,123277,610655,138,410953.4321,NA
43209,123139,610655,101,731675.883,NA
43208,123038,610655,76,317619.6734,0.795156833
43207,122962,610655,52,249569.7378,NA
43206,122910,610655,86,575506.2251,NA
43205,122824,610655,6,106545.176,NA
43204,122818,610655,55,201360.66,NA
43203,122763,610655,152,171696.9412,NA
43202,122611,610655,110,353857.7067,NA
43201,122501,610655,41,350123.9516,0.794241917
43200,122460,610655,82,514050.9504,NA
43199,122378,610655,75,427863.439,NA
43198,122303,610655,10,231176.464,NA
43197,122293,610655,40,146532.982,NA
43196,122253,610655,57,308046.4989,NA
43195,122196,610655,71,0,NA
43194,122125,610655,77,114313.9541,0.793281917
43193,122048,610655,52,138676.618,NA
43192,121996,610655,14,37694.16809,NA
43191,121982,610655,4,65706.1907,NA
43190,121978,610655,4,39993.8051,NA
43189,121974,610655,77,0,NA
43188,121897,610655,83,49906.9714,NA
43187,121814,610655,52,83035.8524,0.7921465
43186,121762,610655,65,15212.64998,NA
43185,121697,610655,20,96774.7304,NA
43184,121677,610655,7,27497.5205,NA
43183,121670,610655,51,17165.7147,NA
43182,121619,610655,98,14654.0226,NA
43181,121521,610655,97,12661.671,NA
